system:index, MIN_B8, MIN_B8_5perc,DATE,MIN_B4,MIN_B4_5perc,PATH,ROW,SCENE_ID,.geo
7371,0.1050209328532219,0.19730778474259844,2015-01-10,0.09024395793676376,0.18925816632285894,219.0,104.0,LC08_L1GT_219104_20150110_20170415_01_T2,
7372,0.3301618695259094,0.3719720692980807,2015-01-26,0.3326265215873718,0.3729033726735563,219.0,104.0,LC08_L1GT_219104_20150126_20170413_01_T2,
7373,0.18243162333965302,0.3733023556642082,2015-02-27,0.16899549961090088,0.3771051418440563,219.0,104.0,LC08_L1GT_219104_20150227_20170412_01_T2,
7374,0.0392187237739563,0.0403353333269176,2016-01-13,0.025399401783943176,0.02655179612962785,219.0,104.0,LC08_L1GT_219104_20160113_20170405_01_T2,
7375,0.1421329826116562,0.2794771125001942,2016-01-29,0.13252045214176178,0.27507563191550655,219.0,104.0,LC08_L1GT_219104_20160129_20170330_01_T2,
7376,0.11907864362001419,0.20847950063814516,2016-02-14,0.11039253324270248,0.2050048602961993,219.0,104.0,LC08_L1GT_219104_20160214_20170329_01_T2,
7377,0.04395308718085289,0.049415285194157665,2017-01-15,0.030521180480718613,0.03396704805277995,219.0,104.0,LC08_L1GT_219104_20170115_20170311_01_T2,
7378,0.14481642842292786,0.39265495105361464,2017-01-31,0.12849707901477814,0.3965149011814197,219.0,104.0,LC08_L1GT_219104_20170131_20170215_01_T2,
7379,0.05405260995030403,0.06443008866399562,2017-02-16,0.04080283269286156,0.04895296322629686,219.0,104.0,LC08_L1GT_219104_20170216_20170228_01_T2,
7380,0.04325130954384804,0.04596111256198647,2018-01-02,0.029976459220051765,0.03340986533961947,219.0,104.0,LC08_L1GT_219104_20180102_20180102_01_T2,
7381,0.05680996552109718,0.06373554862849909,2018-01-18,0.0431978777050972,0.05053857968631413,219.0,104.0,LC08_L1GT_219104_20180118_20180206_01_T2,
7382,0.04437463730573654,0.045990531499980315,2018-02-03,0.030512088909745216,0.033047485749676975,219.0,104.0,LC08_L1GT_219104_20180203_20180220_01_T2,
7383,0.0572085939347744,0.1423135345431303,2018-02-19,0.040458519011735916,0.1347832752737589,219.0,104.0,LC08_L1GT_219104_20180219_20180308_01_T2,
7384,0.1769919991493225,0.45876692562889076,2019-01-05,0.16712452471256256,0.4710828641094566,219.0,104.0,LC08_L1GT_219104_20190105_20190130_01_T2,
7385,0.047859806567430496,0.07627387196981768,2019-01-21,0.03314907103776932,0.06447975240208388,219.0,104.0,LC08_L1GT_219104_20190121_20190201_01_T2,
7386,0.04825950041413307,0.04994786143021333,2019-02-06,0.03457672894001007,0.03754727886934928,219.0,104.0,LC08_L1GT_219104_20190206_20190221_01_T2,
7387,0.048829901963472366,0.052610413678000366,2019-02-22,0.033511560410261154,0.03659674507897113,219.0,104.0,LC08_L1GT_219104_20190222_20190308_01_T2,
7388,0.09937288612127304,0.271357469531224,2014-01-14,0.08486027270555496,0.27536959011075957,220.0,104.0,LC08_L1GT_220104_20140114_20170426_01_T2,
7389,0.07005511969327927,0.08800245331970204,2014-01-30,0.058443583548069,0.07614038500821949,220.0,104.0,LC08_L1GT_220104_20140130_20170426_01_T2,
7390,0.3094327747821808,0.42102256178487596,2014-02-15,0.30615919828414917,0.42654673464401355,220.0,104.0,LC08_L1GT_220104_20140215_20170425_01_T2,
