system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
5148,4351,5206.978479196557,4612,5448.0714285714275,L1C_T07CDT_A013522_20180123T171358,07CDT,
5149,4838,5081.287760416667,4996,5304.993693693695,L1C_T07CES_A013522_20180123T171358,07CES,
5150,608,690.4287823532021,329,373.0098660735215,L1C_T07CET_A013522_20180123T171358,07CET,
5151,897,1775.071302890658,687,1679.3047828697215,L1C_T08CMC_A013522_20180123T171358,08CMC,
5152,2026,2671.571523873058,1942,2702.1651205936923,L1C_T08CNC_A013522_20180123T171358,08CNC,
5153,2949,4006.244949494949,2898,4205.759450658362,L1C_T08CND_A013522_20180123T171358,08CND,
5154,4130,5528.613079381994,4259,5809.228062647501,L1C_T09CVU_A013522_20180123T171358,09CVU,
5155,3282,4365.691283292979,3367,4558.402928953097,L1C_T09CWU_A013522_20180123T171358,09CWU,
5156,5851,6471.495472837022,5983,6680.348721590909,L1C_T09CWV_A013522_20180123T171358,09CWV,
5157,3982,4742.2275482093655,4081,4973.815915056073,L1C_T09CXV_A013522_20180123T171358,09CXV,
5158,7004,7237.0,7239,7514.278894472361,L1C_T10CDD_A013522_20180123T171358,10CDD,
5159,4001,4760.340928707059,4080,5008.017042253521,L1C_T10CDE_A013522_20180123T171358,10CDE,
5160,2150,3615.4929267525936,1796,3613.996708922477,L1C_T58CEA_A013524_20180123T203620,58CEA,
5161,2285,3916.5854616895886,2243,3987.136405529954,L1C_T58CEB_A013524_20180123T203620,58CEB,
5162,5557,5575.0,5720,5755.0,L1C_T58CEC_A013524_20180123T203620,58CEC,
5163,1425,1901.0947962888263,1270,1772.4676938369782,L1C_T58CEV_A013524_20180123T203620,58CEV,
5164,1429,2159.983831940167,1267,2061.2245017584996,L1C_T59CMQ_A013524_20180123T203620,59CMQ,
5165,2290,3826.217276333185,2245,3889.7530511060268,L1C_T59CMS_A013524_20180123T203620,59CMS,
5166,1657,2640.403173965448,1468,2577.3295842538664,L1C_T59CMT_A013524_20180123T203620,59CMT,
5167,1876,2263.357679914071,1784,2231.7714332460732,L1C_T59CNQ_A013524_20180123T203620,59CNQ,
5168,1611,2961.587090389268,1478,2993.034335288368,L1C_T59CNT_A013524_20180123T203620,59CNT,
5169,1464,2443.834130781499,1240,2399.4451805663807,L1C_T59CNU_A013524_20180123T203620,59CNU,
5170,1872,2103.6706428098073,1782,2055.754877014419,L1C_T60CVV_A013524_20180123T203620,60CVV,
5171,6606,6745.738922155689,6817,7011.465237846313,L1C_T56DPK_A013525_20180123T221403,56DPK,
5172,6219,6587.769129535628,6400,6843.75975587202,L1C_T57DVE_A013525_20180123T221403,57DVE,
5173,4283,5902.9236158970825,4057,5840.788341822297,L1C_T57DWD_A013525_20180123T221403,57DWD,
5174,678,1039.1140905708517,415,815.5936931013554,L1C_T57DWE_A013525_20180123T221403,57DWE,
5175,2291,5983.275656689066,2056,6001.732954545457,L1C_T57DXC_A013525_20180123T221403,57DXC,
5176,719,1444.450380694283,423,1185.7894607239596,L1C_T57DXD_A013525_20180123T221403,57DXD,
5177,2357,6641.37745565516,2057,6799.777236238532,L1C_T58DDH_A013525_20180123T221403,58DDH,
5178,2358,6129.834115805947,2058,6221.225705329153,L1C_T58DDJ_A013525_20180123T221403,58DDJ,
5179,5178,5448.003872579638,5229,5607.488085456041,L1C_T53DNH_A013526_20180123T235500,53DNH,
5180,4985,6246.972624168948,5084,6615.791766826923,L1C_T53DPG_A013526_20180123T235500,53DPG,
5181,5178,5478.791677503251,5229,5656.305902777777,L1C_T53DPH_A013526_20180123T235500,53DPH,
5182,3263,4617.830974188177,3304,4880.309686495178,L1C_T54DVM_A013526_20180123T235500,54DVM,
5183,1194,2672.920508401551,952,2702.977454642476,L1C_T54DWM_A013526_20180123T235500,54DWM,
5184,5872,6211.542263610316,6203,6562.856963613552,L1C_T49DDH_A013527_20180124T013535,49DDH,
5185,5444,6167.45930572982,5753,6472.000319693096,L1C_T49DEH_A013527_20180124T013535,49DEH,
